"id_film";"titre";"duree";"id_categorie";"annee";"pays";"id_realisateur";"photo"
1;"Act of Piracy";101;9;1990;"US";54;"https://upload.wikimedia.org/wikipedia/en/b/b1/Act_of_Piracy_FilmPoster.jpeg"
2;"Split Decisions";96;5;1988;"US";8;"https://upload.wikimedia.org/wikipedia/en/thumb/8/85/Split_decisions_dvd_cover.jpg/220px-Split_decisions_dvd_cover.jpg"
3;"Vampire"s Kiss";103;3;1989;"US";55;"https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/Vampires_kiss.jpg/220px-Vampires_kiss.jpg"
5;"Presumed Innocent";127;9;1990;"US";44;"https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Presumed_Innocent.jpg/220px-Presumed_Innocent.jpg"
6;"Reap the Wild Wind";123;5;1942;"US";3;"https://upload.wikimedia.org/wikipedia/en/thumb/4/4b/Reap_the_Wild_Wind.jpg/220px-Reap_the_Wild_Wind.jpg"
7;"Pocket Money";100;3;1972;"US";14;"https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Pocket_money.jpg/220px-Pocket_money.jpg"
10;"Guilty by S"US"picion";105;5;1990;"US";45;"https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/Guilty_by_suspicion.jpg/220px-Guilty_by_suspicion.jpg"
11;"Secret Beyond the Door";99;9;1948;"US";5;"https://upload.wikimedia.org/wikipedia/en/5/51/SecretBeyondtheDoorPoster.jpg"
12;"Scarlet Street";103;5;1945;"US";5;"https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Scarlet_Street_p.jpg/220px-Scarlet_Street_p.jpg"
13;"Daffy Duck"s Quackbusters";76;1;1988;"US";41;"https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Daffy_ducks_quackbusters.jpg/220px-Daffy_ducks_quackbusters.jpg"
15;"Gandhi";188;5;1982;"UK";34;"https://upload.wikimedia.org/wikipedia/en/1/10/Gandhi-poster.png"
16;"Wind & the Lion, The";120;1;1975;"US";2;"https://upload.wikimedia.org/wikipedia/en/thumb/9/92/Wind_and_the_lion_movie_poster.jpg/220px-Wind_and_the_lion_movie_poster.jpg"
17;"Carnal Knowledge";96;5;1971;"US";25;"https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Carnal_knowledge.jpg/220px-Carnal_knowledge.jpg"
18;"Getting Straight";126;3;1970;"US";21;"https://upload.wikimedia.org/wikipedia/en/thumb/9/91/Getting_straight.jpg/220px-Getting_straight.jpg"
21;"Autumn Sonata";97;5;1978;"DE";50;"https://upload.wikimedia.org/wikipedia/en/thumb/3/34/Autumnsonataposter.jpg/220px-Autumnsonataposter.jpg"
22;"Gaslight";114;5;1944;"US";51;"https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Gaslight_%281944_poster%29.jpg/220px-Gaslight_%281944_poster%29.jpg"
23;"Avengers";143;1;2012;"US";56;"https://upload.wikimedia.org/wikipedia/en/8/8a/The_Avengers_%282012_film%29_poster.jpg"
24;"Avengers : L'Ãˆre d'Ultron";142;1;2015;"US";56;"https://upload.wikimedia.org/wikipedia/en/f/ff/Avengers_Age_of_Ultron_poster.jpg"
25;"Lucy";90;1;2014;"FR";59;"https://upload.wikimedia.org/wikipedia/en/1/14/Lucy_%282014_film%29_poster.jpg"
26;"Le Grand Bleu";168;;1988;"FR";59;"https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Big_Blue_poster_200px.jpg/220px-Big_Blue_poster_200px.jpg"
27;"Arthur et les Minimoys";91;2;2006;"FR";59;"https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Arthur_and_the_Invisibles_poster.jpg/220px-Arthur_and_the_Invisibles_poster.jpg"
28;"Sherlock Holmes";129;2;2009;"UK";62;"https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/67/70/22/19227477.jpg"
29;"Sherlock Holmes: A Game of Shadows";129;2;2011;"UK";62;"https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/86/23/92/19849297.jpg"